folder,examples,time,RRE,RTE
7-scenes-redkitchen,14 29,0:00:02.031189,177.2205015935016,2.9817482165478304
7-scenes-redkitchen,14 37,0:00:03.255458,2.4370340497005616,0.038280718371607535
7-scenes-redkitchen,14 38,0:00:03.646752,1.8500105904235897,0.10898077390806718
7-scenes-redkitchen,14 39,0:00:01.959885,4.162114054199195,0.06259759351382654
7-scenes-redkitchen,14 40,0:00:01.603683,2.669660644514113,0.10753234884479565
7-scenes-redkitchen,14 41,0:00:02.070893,2.9174613873955835,0.11192449880024517
7-scenes-redkitchen,14 42,0:00:01.060205,2.3382119954340643,0.06965102488628551
7-scenes-redkitchen,14 59,0:00:02.512663,2.2164973317375694,0.08212030761738856
7-scenes-redkitchen,15 16,0:00:00.957734,0.5681538112567348,0.06100914536691926
7-scenes-redkitchen,15 17,0:00:01.497787,1.1468710185170197,0.06988337994511323
7-scenes-redkitchen,15 18,0:00:01.798558,1.475312335912763,0.053985515130417674
7-scenes-redkitchen,15 19,0:00:04.414978,1.3038314961169435,0.03695407971114554
7-scenes-redkitchen,15 20,0:00:02.057056,1.9419702148355558,0.09679009585797649
7-scenes-redkitchen,15 25,0:00:01.202143,0.8969990462962152,0.03960734917352033
7-scenes-redkitchen,15 26,0:00:01.785663,1.016227495227636,0.0070610959119364386
7-scenes-redkitchen,15 27,0:00:12.212067,94.01592818082737,3.142859376533004
7-scenes-redkitchen,15 36,0:00:02.696729,1.562096317049216,0.05291162383452772
7-scenes-redkitchen,15 37,0:00:02.474442,1.4069943782362966,0.047484470040599115
7-scenes-redkitchen,15 38,0:00:01.114485,1.2812756609281664,0.13602980806202158
7-scenes-redkitchen,15 39,0:00:01.077451,1.4867776358690115,0.053239518356631245
7-scenes-redkitchen,15 59,0:00:11.241307,0.8849121229682896,0.4213495597754122
7-scenes-redkitchen,16 17,0:00:01.724755,0.7391329058089547,0.020862520170039693
7-scenes-redkitchen,16 18,0:00:05.400870,1.1882032355519054,0.06935117766667216
7-scenes-redkitchen,16 19,0:00:09.755090,1.3718086020591205,0.14840509309061126
7-scenes-redkitchen,16 20,0:00:03.229507,1.674430835798286,0.04441197606945253
7-scenes-redkitchen,16 21,0:00:08.777405,1.9450429566101857,0.06989262222122637
7-scenes-redkitchen,16 22,0:00:04.377046,1.3317120267451374,0.6925454848015925
7-scenes-redkitchen,16 23,0:00:05.109426,1.4301538772368778,0.4035181729547503
7-scenes-redkitchen,16 24,0:00:03.504939,0.988120684698838,0.07424656854792376
7-scenes-redkitchen,16 25,0:00:03.006257,1.0812162678965174,0.0829655906827323
7-scenes-redkitchen,16 26,0:00:05.097327,1.0403484974338595,0.09956999289507733
7-scenes-redkitchen,16 35,0:00:01.548417,1.3124173435953619,0.03640932703360721
7-scenes-redkitchen,16 36,0:00:02.669960,1.425973651016668,0.023551859451599298
7-scenes-redkitchen,16 37,0:00:01.485851,1.3904344536129842,0.022578341350315168
7-scenes-redkitchen,16 38,0:00:05.578340,1.3646331411740829,0.02003151206062344
7-scenes-redkitchen,16 39,0:00:05.132776,1.3968277371748556,0.031287682477940774
7-scenes-redkitchen,16 53,0:00:01.046895,1.5591154772307543,0.022403568816138888
7-scenes-redkitchen,16 54,0:00:07.342104,0.573455266643045,0.017964317614053354
7-scenes-redkitchen,16 55,0:00:01.732764,1.9965392522390837,0.07379707547918547
7-scenes-redkitchen,16 56,0:00:11.979991,113.73382687686858,2.3562032026878614
7-scenes-redkitchen,16 58,0:00:02.214185,0.8940465597917701,0.07476501008851588
7-scenes-redkitchen,16 59,0:00:08.415230,0.5807739020615112,0.013419248262036722
7-scenes-redkitchen,17 18,0:00:04.434490,0.5788141314810596,0.05722483316685228
7-scenes-redkitchen,17 19,0:00:06.801784,0.781864511835899,0.10788281186230898
7-scenes-redkitchen,17 20,0:00:11.607253,0.9248996736563077,0.02180406620231341
7-scenes-redkitchen,17 21,0:00:05.116896,1.8683034445695288,0.10952072273055102
7-scenes-redkitchen,17 22,0:00:04.047415,2.116559209499978,0.09715347806260843
7-scenes-redkitchen,17 23,0:00:02.776984,1.5829294436897978,0.04950138250888592
7-scenes-redkitchen,17 24,0:00:05.508356,0.8375832809721384,0.029680133028864766
7-scenes-redkitchen,17 25,0:00:03.152218,1.491300541408973,0.30797621001604764
7-scenes-redkitchen,17 35,0:00:03.303397,1.477942263432409,0.04586751949872868
7-scenes-redkitchen,17 36,0:00:03.165030,1.4410735452232006,0.021578018455570856
7-scenes-redkitchen,17 37,0:00:03.120931,1.6393501821558965,0.0289232968859367
7-scenes-redkitchen,17 38,0:00:02.936178,1.6450774277056843,0.028178907904297966
7-scenes-redkitchen,17 39,0:00:04.678409,1.4954005990847923,0.036228638233992944
7-scenes-redkitchen,17 53,0:00:01.381357,1.9105077089046383,0.05774893491254103
7-scenes-redkitchen,17 54,0:00:03.703016,0.35298989121486923,0.02374365506823967
7-scenes-redkitchen,17 55,0:00:02.136271,1.9973316546389013,0.08413224754034675
7-scenes-redkitchen,17 58,0:00:01.848839,1.0713282003027786,0.08435283457599264
7-scenes-redkitchen,17 59,0:00:02.727829,1.067995020312913,0.02495130461816774
7-scenes-redkitchen,18 19,0:00:15.744546,0.5963349587622643,0.05896747150234434
7-scenes-redkitchen,18 20,0:00:09.183420,0.10444080230248827,0.011898516829416351
7-scenes-redkitchen,18 21,0:00:06.645766,1.4977370263527767,0.11634425607751386
7-scenes-redkitchen,18 23,0:00:05.423206,1.2375922931145606,0.17199968157494908
7-scenes-redkitchen,18 24,0:00:02.447999,1.0809637569100012,0.02898917052163973
7-scenes-redkitchen,18 25,0:00:03.396152,1.0439186424430593,0.040105115245955184
7-scenes-redkitchen,18 26,0:00:15.251903,179.18784353454217,4.034312137942924
7-scenes-redkitchen,18 35,0:00:02.845566,1.6674732017366358,0.05971177496922835
7-scenes-redkitchen,18 36,0:00:04.274550,1.3911845785862214,0.022536347414019213
7-scenes-redkitchen,18 37,0:00:16.258018,1.2882684453765887,0.021342305186438402
7-scenes-redkitchen,18 38,0:00:08.002801,1.567638256935622,0.02969608629332228
7-scenes-redkitchen,18 39,0:00:12.706707,1.4420218108415799,0.029712635686581387
7-scenes-redkitchen,18 54,0:00:02.470632,0.1785342692591934,0.05694872422155466
7-scenes-redkitchen,18 59,0:00:02.591087,1.398765447069039,0.12584057299308732
